,tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
2049,670842764863651840,23405,8148,8855846,17,Twitter for iPhone,Original tweet,https://t.co/yfAAo1gdeY
2050,670840546554966016,552,181,8855846,17,Twitter for iPhone,Original tweet,https://t.co/jBnz3MjTzX
2051,670838202509447168,1051,646,8855846,17,Twitter for iPhone,Original tweet,https://t.co/QY5uvMmmQk
2052,670833812859932673,413,113,8855846,17,Twitter for iPhone,Original tweet,https://t.co/459qWNnV3F
2053,670832455012716544,693,200,8855846,17,Twitter for iPhone,Original tweet,https://t.co/Hj2HtxpcSx
2054,670826280409919488,5227,3804,8855846,17,Twitter for iPhone,Original tweet,https://t.co/XOPXCSXiUT
2055,670823764196741120,736,175,8855846,17,Twitter for iPhone,Original tweet,https://t.co/m3ufSDwHHJ
2056,670822709593571328,574,89,8855846,17,Twitter for iPhone,Original tweet,https://t.co/yrqGyMZhW6
2057,670815497391357952,3002,1444,8855846,17,Twitter for iPhone,Original tweet,https://t.co/nLYruSMRe6
2058,670811965569282048,1066,253,8855846,17,Twitter for iPhone,Original tweet,https://t.co/eYP9i9gfYn
2059,670807719151067136,1105,459,8855846,17,Twitter for iPhone,Original tweet,https://t.co/idzH8JH06g
2060,670804601705242624,1854,900,8855846,17,Twitter for iPhone,Original tweet,https://t.co/DM3ZP3AA7b
2061,670803562457407488,322,83,8855846,17,Twitter for iPhone,Original tweet,https://t.co/9ZuGAmLZDR
2062,670797304698376195,698,220,8856491,17,Twitter for iPhone,Original tweet,https://t.co/yqohZK4CL0
2063,670792680469889025,783,257,8855846,17,Twitter for iPhone,Original tweet,https://t.co/gTy4WMXu8l
2064,670789397210615808,625,223,8855846,17,Twitter for iPhone,Original tweet,https://t.co/RGcNPsmAfY
2065,670786190031921152,567,187,8855846,17,Twitter for iPhone,Original tweet,https://t.co/3r7wznfuoa
2066,670783437142401025,785,357,8855846,17,Twitter for iPhone,Original tweet,https://t.co/jxukeh2BeO
2067,670782429121134593,1460,720,8855846,17,Twitter for iPhone,Original tweet,https://t.co/6dioUL6gcP
2068,670780561024270336,754,270,8855846,17,Twitter for iPhone,Original tweet,https://t.co/Viu56hVhhP
2069,670778058496974848,317,69,8855846,17,Twitter for iPhone,Original tweet,https://t.co/4g5kFdxp6g
2070,670764103623966721,1027,393,8855846,17,Twitter for iPhone,Original tweet,https://t.co/ZfS7chSsi7
2071,670755717859713024,416,98,8855846,17,Twitter for iPhone,Original tweet,https://t.co/F6bI9dF16E
2072,670733412878163972,906,476,8855846,17,Twitter for iPhone,Original tweet,https://t.co/NsDIt8Z80Z
2073,670727704916926465,788,335,8855846,17,Twitter for iPhone,Original tweet,https://t.co/SWnrQAFOtt
2074,670717338665226240,1128,448,8855846,17,Twitter for iPhone,Original tweet,https://t.co/W2MCt9pTed
2075,670704688707301377,734,345,8855846,17,Twitter for iPhone,Original tweet,https://t.co/I1lMUy1FqH
2076,670691627984359425,559,226,8855846,17,Twitter for iPhone,Original tweet,https://t.co/eCVj2xT59V
2077,670679630144274432,712,263,8855846,17,Twitter for iPhone,Original tweet,https://t.co/HMcD9SLOAN
2078,670676092097810432,234,38,8855846,17,Twitter for iPhone,Original tweet,https://t.co/IAc1QCczMc
2079,670668383499735048,10127,4682,8855846,17,Twitter for iPhone,Original tweet,https://t.co/NECxEHN5YU
2080,670474236058800128,1423,689,8855846,17,Twitter for iPhone,Original tweet,https://t.co/7JMAHdJ6A4
2081,670468609693655041,338,82,8855846,17,Twitter for iPhone,Original tweet,https://t.co/dupWSIpSrG
2082,670465786746662913,922,510,8855846,17,Twitter for iPhone,Original tweet,https://t.co/2BnCLtJMxD
2083,670452855871037440,521,190,8855846,17,Twitter for iPhone,Original tweet,https://t.co/35BcGFdEAK
2084,670449342516494336,1145,606,8855846,17,Twitter for iPhone,Original tweet,https://t.co/cixC0M3P1e
2085,670444955656130560,6381,1869,8855846,17,Twitter for iPhone,Original tweet,https://t.co/J5Mqn8VeYq
2086,670442337873600512,613,187,8855846,17,Twitter for iPhone,Original tweet,https://t.co/mzPoS9wCqp
2087,670435821946826752,1001,481,8855846,17,Twitter for iPhone,Original tweet,https://t.co/sQuKwSKtDE
2088,670434127938719744,1336,604,8855846,17,Twitter for iPhone,Original tweet,https://t.co/cwoP1ftbrj
2089,670433248821026816,313,103,8855846,17,Twitter for iPhone,Original tweet,https://t.co/PXnCdz8qzK
2090,670428280563085312,1319,579,8855846,17,Twitter for iPhone,Original tweet,https://t.co/Fm1SvVLsad
2091,670427002554466305,494,148,8855846,17,Twitter for iPhone,Original tweet,https://t.co/CtuJoLHiDo
2092,670421925039075328,1238,597,8855846,17,Twitter for iPhone,Original tweet,https://t.co/tLRyYvCci3
2093,670420569653809152,587,295,8855846,17,Twitter for iPhone,Original tweet,https://t.co/Z5nqlfjYJi
2094,670417414769758208,539,303,8855846,17,Twitter for iPhone,Original tweet,https://t.co/Dfv2YaHPMn
2095,670411370698022913,1908,833,8855846,17,Twitter for iPhone,Original tweet,https://t.co/1DJfHmfBQN
2096,670408998013820928,526,205,8855846,17,Twitter for iPhone,Original tweet,https://t.co/LXVEHo9JMY
2097,670403879788544000,407,143,8855846,17,Twitter for iPhone,Original tweet,https://t.co/vSd1TWFK1I
2098,670385711116361728,536,191,8855846,17,Twitter for iPhone,Original tweet,https://t.co/MAZx8MPF0S
2099,670374371102445568,710,251,8855846,17,Twitter for iPhone,Original tweet,https://t.co/8yzgYzP94K
2100,670361874861563904,313,60,8855846,17,Twitter for iPhone,Original tweet,https://t.co/98ZBi6o4dj
2101,670338931251150849,406,101,8855846,17,Twitter for iPhone,Original tweet,https://t.co/iTc578yDmY
2102,670319130621435904,3693,1142,8855846,17,Twitter for iPhone,Original tweet,https://t.co/QnfO7HEQGA
2103,670303360680108032,411,123,8855846,17,Twitter for iPhone,Original tweet,https://t.co/yV3Qgjh8iN
2104,670290420111441920,659,267,8855846,17,Twitter for iPhone,Original tweet,https://t.co/orbkAq9kYF
2105,670093938074779648,973,308,8855846,17,Twitter for iPhone,Original tweet,https://t.co/vYs9IVzHY9
2106,670086499208155136,660,236,8855846,17,Twitter for iPhone,Original tweet,https://t.co/DuQXATW27f
2107,670079681849372674,2103,1145,8856491,17,Twitter for iPhone,Original tweet,https://t.co/Qvj4JZGdQD
2108,670073503555706880,1479,740,8855846,17,Twitter for iPhone,Original tweet,https://t.co/exGrzT9O88
2109,670069087419133954,588,223,8855846,17,Twitter for iPhone,Original tweet,https://t.co/pzrvc7wKGd
2110,670061506722140161,718,310,8855846,17,Twitter for iPhone,Original tweet,https://t.co/uQMFKv1vjn
2111,670055038660800512,630,304,8855846,17,Twitter for iPhone,Original tweet,https://t.co/0gY6XTOpn3
2112,670046952931721218,615,160,8855846,17,Twitter for iPhone,Original tweet,https://t.co/465sIBdvzU
2113,670040295598354432,713,104,8855846,17,Twitter for iPhone,Original tweet,https://t.co/5iYF0Ci0EK
2114,670037189829525505,561,256,8855846,17,Twitter for iPhone,Original tweet,https://t.co/rOTOteKx4q
2115,670003130994700288,315,84,8855846,17,Twitter for iPhone,Original tweet,https://t.co/3NTykJmtHt
2116,669993076832759809,305,77,8855846,17,Twitter for iPhone,Original tweet,https://t.co/kR1fqy4NKK
2117,669972011175813120,418,147,8855846,17,Twitter for iPhone,Original tweet,https://t.co/A6XnvxHiUQ
2118,669970042633789440,285,51,8855846,17,Twitter for iPhone,Original tweet,https://t.co/aeURGO9Qs8
2119,669942763794931712,476,148,8855846,17,Twitter for iPhone,Original tweet,https://t.co/1VJoY3OJ1F
2120,669926384437997569,359,89,8855846,17,Twitter for iPhone,Original tweet,https://t.co/9RYY2NtHDw
2121,669923323644657664,223,53,8855846,17,Twitter for iPhone,Original tweet,https://t.co/6GUGO7azNX
2122,669753178989142016,758,372,8855846,17,Twitter for iPhone,Original tweet,https://t.co/63jh1tYZa5
2123,669749430875258880,245,62,8855846,17,Twitter for iPhone,Original tweet,https://t.co/tbFaTUHLJB
